data_center_location,geocode_country,geocode_state,region_network,product_name,product_server_type,count,watts
Chicago,US,IL,Subscription Backup,Floodcase 2x8 Lighting Array,,42,8190
Chicago,US,IL,Business Recovery Services,OSR 2x8-G4 CacheH Opteron Server,,42,9450
Chicago,US,IL,Business Recovery Services,Floodcase 10x10 Lighting Array,,42,11550
Odaiba,JP,N/A,Business Recovery Services,Ziemann 1250 Chemical Dryer,,42,11550
Palermo,IT,N/A,Business Recovery Services,Gordon DFR Drystore Array,,42,11550
Frankfurt,DE,N/A,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev B},,42,11550
Riverside,US,CA,Business Recovery Services,Ziemann 1250 Chemical Dryer,,42,11550
San Jose,US,CA,Cloud Data,Gordon DFR Drystore Array,,42,11550
San Jose,US,CA,Business Recovery Services,Ziemann 1250 Chemical Dryer,,42,11550
Fresno,US,CA,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,41,9225
Cairo,EG,N/A,Other,HP ProCurve Switch 3400cl-24G,,41,2870
Houston,US,TX,Business Recovery Services,Ziemann 1250 Chemical Dryer,,41,11275
San Jose 2,US,CA,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev B},,41,11275
Dallas,US,TX,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,41,9225
Santa Clara,US,CA,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX {Rev B},,41,9225
London Waterloo,GB,N/A,Business Recovery Services,Ziemann 1250 Chemical Dryer,,41,11275
New York,US,NY,Other,HP ProCurve Switch 2900-48G,,41,6765
Syracuse,US,NY,Business Recovery Services,Group DDG 2x8-G4 MUX,,41,9225
Seattle,US,WA,Business Recovery Services,Group DDG 2x8-G4 MUX,,41,9225
London Waterloo,GB,N/A,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX {Rev B},,41,9225
Fresno,US,CA,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX {Rev B},,40,9000
Dallas,US,TX,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX {Rev B},,40,9000
Miami,US,FL,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX {Rev B},,40,9000
Tampa,US,FL,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX {Rev B},,40,9000
Geneva,CH,N/A,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX {Rev B},,40,9000
Den Haag,NL,N/A,Business Recovery Services,Gordon DFR Drystore Array,,40,11000
Den Haag,NL,N/A,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev B},,40,11000
Warsaw,PL,N/A,Secondary Loop,Gannon 2x4-G1 Opteron Server,,40,11400
Beijing,CN,N/A,Business Recovery Services,Dell 2x8-G4 8G CacheH SAS Opteron Server,,40,9000
Shinagawa,JP,N/A,Business Recovery Services,Ziemann 1250 Chemical Dryer,,40,11000
Zurich,CH,N/A,Other,Floodcase 5x6 Lighting Array,,40,7800
Zurich,CH,N/A,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev B},,40,11000
Madrid,ES,N/A,Business Recovery Services,Group DDG 2x8-G4 8GB SAS CacheH MUX,,40,9000
San Jose 2,US,CA,Business Recovery Services,Dell 2x8-G4 8G CacheH SAS Opteron Server,,40,9000
Dallas,US,TX,Cloud Data,OSR 2x8-G3 Opteron Server {Rev B},,40,11000
Dallas,US,TX,Business Recovery Services,OSR 2x8-G4 Opteron Server,,40,9000
Dallas,US,TX,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX {Rev B},,40,9000
Newark,US,NJ,Secondary Loop,Gannon 2x4-G1 Opteron Server,,40,11400
Copenhagen,DK,N/A,Business Recovery Services,Gannon 1x8-G4 Opteron Server,,40,7600
Stockholm,SE,N/A,Business Recovery Services,Gordon DFR Drystore Array,,40,11000
Seattle,US,WA,Business Recovery Services,OSR 2x8-G1 Opteron Server,,40,14400
Seattle,US,WA,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX {Rev B},,40,9000
Hamburg,DE,N/A,Business Recovery Services,Gannon 1x8-G4 Opteron Server,,40,7600
Santa Clara,US,CA,Cloud Data,OSR 2x8-G1 Opteron Server,,40,14400
Santa Clara,US,CA,Business Recovery Services,OSR 2x8-G1 Opteron Server,,40,14400
Santa Clara,US,CA,Legacy Loop,ECL 8 Bulb LED Array,,40,6400
Birmingham 2,GB,N/A,Business Recovery Services,Gordon DFR Drystore Array,,40,11000
Bellevue,US,WA,Basic Package,Floodcase 5x6 Lighting Array,,40,7800
Bellevue,US,WA,Cloud Data,Group DDG 2x8-G4 8GB SAS MUX,,40,9000
Bellevue,US,WA,Business Recovery Services,Group DDG 2x8-G4 8GB SAS MUX,,40,9000
Tokyo 2,JP,N/A,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX,,40,9000
New York,US,NY,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,40,9000
New York,US,NY,Business Recovery Services,Group DDG 2x8-G4 8GB SAS CacheH MUX,,40,9000
Atlanta,US,GA,Cloud Data,OSR 2x8-G4 Opteron Server {Upgraded by ZT},,40,9000
Raleigh,US,NC,Business Recovery Services,OSR 2x8-G3 Opteron Server {BT Chassis},,40,11000
San Diego,US,CA,Other,HP ProCurve Switch 2900-48G,,40,6600
London Waterloo,GB,N/A,Business Recovery Services,Fictioncorp FTR Switch,,40,7600
Moscow,RU,N/A,Business Recovery Services,OSR 2x8-G4 CacheH Opteron Server,,40,9000
Birmingham,GB,N/A,Business Recovery Services,OSR 2x8-G4 Opteron Server,,40,9000
Glasgow,GB,N/A,Business Recovery Services,OSR 2x8-G4 Opteron Server,,40,9000
Manchester,GB,N/A,Business Recovery Services,OSR 2x8-G4 8G Opteron Server,,40,9000
Dusseldorf,DE,N/A,Business Recovery Services,OSR 2x8-G4 8G Opteron Server,,40,9000
Vienna VA,US,VA,Business Recovery Services,Group DDG 2x8-G4 MUX,,40,9000
Santa Clara,US,CA,Business Recovery Services,Group DDG 2x8-G4 8GB SAS CacheH MUX,,40,9000
Santa Clara,US,CA,Subscription Backup,Floodcase 2x10 Lighting Array,,40,9000
Nice,FR,N/A,Business Recovery Services,Group DDG 2x8-G4 8GB SAS CacheH MUX,,40,9000
Fresno,US,CA,Daily Backup,OSR 2x8-G4 Fat Opteron Server,,39,8775
Dallas,US,TX,Cloud Data,Group DDG 2x8-G4 MUX {Rev B},,39,8775
Shinagawa,JP,N/A,Subscription Backup,Gannon 1x2-G4 8G Opteron Server {Rev B},,39,5070
Atlanta,US,GA,Secondary Loop,Gannon 2x4-G1 Opteron Server,,39,11115
Dallas,US,TX,Other,HP ProCurve Switch 2524,,39,1365
Shanghai,CN,N/A,Business Recovery Services,OSR 2x8-G3 Opteron Server {Rev A},,39,10725
New York,US,NY,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev B},,39,10725
Santa Clara,US,CA,Business Recovery Services,OSR 2x8-G4 8G CacheH SAS Opteron Server {Rev B},,39,8775
Riverside,US,CA,Business Recovery Services,OSR 2x8-G4 CacheH Opteron Server,,39,8775
Seattle,US,WA,Business Recovery Services,OSR 2x8-G4 CacheH Opteron Server,,39,8775
San Diego,US,CA,Free OS,Gannon 2x2-G1 Opteron Server,,39,8775
London Waterloo,GB,N/A,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,39,8775
London Waterloo,GB,N/A,Business Recovery Services,Zarin 800W HVAC,,39,7410
Dallas,US,TX,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,39,8775
Vienna,AT,N/A,Business Recovery Services,Zarin 800W HVAC,,39,7410
Chicago,US,IL,Business Recovery Services,Zarin 800W HVAC,,38,7220
Chicago,US,IL,Cloud Data,Zarin 1200W HVAC,,38,7220
Shinagawa,JP,N/A,Subscription Backup,Gannon 2x10-G4 1TB SATA LCS 8G Opteron Server,,38,8550
Dubai,AE,N/A,Subscription Backup,Gannon 2x10-G3 SATA LCS Opteron Server,,38,8550
Atlanta,US,GA,Subscription Backup,Gannon 2x10-G3 SATA LCS Opteron Server,,38,8550
Atlanta,US,GA,Subscription Backup,Gannon 2x10-G4 SATA LCS 8G Opteron Server {Rev B},,38,8550
London Central,GB,N/A,Cloud Data,Zarin 800W HVAC,,38,7220
Houston,US,TX,Business Recovery Services,Zarin 1200W HVAC,,38,7220
Dallas,US,TX,Other,Gannon 2x10-G3 SATA LCS Opteron Server,,38,8550
Frankfurt,DE,N/A,Business Recovery Services,OSR 2x8-G3 Opteron Server {Rev B},,38,10450
Chicago,US,IL,Subscription Backup,Gannon 2x10-G3 SATA LCS Opteron Server,,38,8550
Chicago,US,IL,Cloud Data,Zarin 1200W HVAC,,38,7220
London Waterloo,GB,N/A,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev B},,38,10450
London Waterloo,GB,N/A,Other,HP ProCurve Switch 2900-48G,,38,6270
London Waterloo,GB,N/A,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,38,8550
